,pseudotime,branch
1404,18,Right_End
1405,19,Left_End
1406,24,Left_End
1407,12,Left_Mid
1408,17,Left_End
1409,7,Left_Mid
1410,2,Start
1411,22,Left_End
1412,13,Right_Mid
1413,8,Right_Mid
1414,5,Left_Mid
1415,0,Start
1416,17,Right_End
1417,15,Left_End
1418,6,Left_Mid
1419,15,Left_End
1420,21,Left_End
1421,1,Start
1422,19,Right_End
1423,12,Right_Mid
1424,17,Right_End
1425,19,Left_End
1426,8,Right_Mid
1427,13,Right_Mid
1428,22,Right_End
1429,16,Left_End
1430,8,Left_Mid
1431,6,Left_Mid
1432,8,Right_Mid
1433,17,Right_End
1434,22,Right_End
1435,18,Left_End
1436,11,Right_Mid
1437,24,Right_End
1438,12,Left_Mid
1439,15,Right_End
1440,13,Left_Mid
1441,11,Left_Mid
1442,19,Right_End
1443,14,Right_Mid
1444,21,Right_End
1445,10,Left_Mid
1446,16,Left_End
1447,18,Right_End
1448,13,Left_Mid
1449,20,Right_End
1450,24,Right_End
1451,24,Left_End
1452,16,Left_End
1453,14,Right_Mid
1454,14,Right_Mid
1455,20,Right_End
1456,12,Right_Mid
1457,16,Left_End
1458,15,Right_End
1459,9,Left_Mid
1460,18,Right_End
1461,13,Left_Mid
1462,12,Left_Mid
1463,14,Left_Mid
1464,18,Left_End
1465,20,Right_End
1466,23,Right_End
1467,19,Right_End
1468,6,Right_Mid
1469,1,Start
1470,0,Start
1471,18,Right_End
1472,18,Right_End
1473,8,Right_Mid
1474,12,Left_Mid
1475,10,Right_Mid
1476,9,Left_Mid
1477,4,Start
1478,21,Left_End
1479,7,Left_Mid
1480,18,Right_End
1481,11,Left_Mid
1482,0,Start
1483,8,Left_Mid
1484,19,Right_End
1485,6,Left_Mid
1486,3,Start
1487,2,Start
1488,16,Right_End
1489,3,Start
1490,18,Left_End
1491,18,Left_End
1492,23,Right_End
1493,9,Left_Mid
1494,10,Left_Mid
1495,17,Right_End
1496,6,Left_Mid
1497,20,Left_End
1498,23,Left_End
1499,1,Start
1500,16,Left_End
1501,22,Left_End
1502,5,Right_Mid
1503,18,Right_End
1504,14,Right_Mid
1505,22,Left_End
1506,16,Right_End
1507,24,Right_End
1508,3,Start
1509,11,Left_Mid
1510,5,Right_Mid
1511,24,Left_End
1512,13,Right_Mid
1513,19,Left_End
1514,8,Left_Mid
1515,15,Right_End
1516,3,Start
1517,23,Left_End
1518,16,Right_End
1519,7,Left_Mid
1520,6,Right_Mid
1521,5,Right_Mid
1522,6,Right_Mid
1523,8,Right_Mid
1524,6,Right_Mid
1525,4,Start
1526,20,Right_End
1527,22,Right_End
1528,24,Right_End
1529,18,Left_End
1530,20,Left_End
1531,17,Right_End
1532,16,Left_End
1533,3,Start
1534,20,Right_End
1535,16,Left_End
1536,8,Right_Mid
1537,10,Right_Mid
1538,10,Left_Mid
1539,5,Right_Mid
1540,9,Right_Mid
1541,16,Right_End
1542,20,Right_End
1543,10,Right_Mid
1544,11,Right_Mid
1545,0,Start
1546,24,Right_End
1547,11,Left_Mid
1548,8,Right_Mid
1549,21,Left_End
1550,18,Left_End
1551,11,Left_Mid
1552,23,Left_End
1553,1,Start
1554,18,Right_End
1555,8,Right_Mid
1556,19,Left_End
1557,7,Right_Mid
1558,20,Right_End
1559,21,Right_End
1560,14,Right_Mid
1561,17,Left_End
1562,14,Left_Mid
1563,23,Right_End
1564,6,Right_Mid
1565,11,Right_Mid
1566,21,Right_End
1567,10,Left_Mid
1568,15,Left_End
1569,5,Right_Mid
1570,17,Left_End
1571,13,Right_Mid
1572,7,Left_Mid
1573,9,Right_Mid
1574,5,Left_Mid
1575,20,Left_End
1576,9,Left_Mid
1577,8,Right_Mid
1578,16,Right_End
1579,5,Left_Mid
1580,10,Left_Mid
1581,22,Right_End
1582,20,Right_End
1583,19,Left_End
1584,1,Start
1585,0,Start
1586,24,Right_End
1587,17,Left_End
1588,3,Start
1589,6,Left_Mid
1590,14,Left_Mid
1591,17,Left_End
1592,9,Left_Mid
1593,19,Right_End
1594,24,Left_End
1595,5,Right_Mid
1596,20,Left_End
1597,4,Start
1598,22,Left_End
1599,3,Start
1600,15,Left_End
1601,20,Right_End
1602,10,Left_Mid
1603,14,Left_Mid
1604,21,Right_End
1605,8,Right_Mid
1606,11,Left_Mid
1607,7,Right_Mid
1608,6,Right_Mid
1609,7,Left_Mid
1610,17,Right_End
1611,15,Left_End
1612,6,Right_Mid
1613,23,Right_End
1614,8,Left_Mid
1615,11,Right_Mid
1616,15,Right_End
1617,19,Right_End
1618,18,Right_End
1619,5,Right_Mid
1620,18,Left_End
1621,17,Right_End
1622,10,Left_Mid
1623,11,Right_Mid
1624,10,Left_Mid
1625,2,Start
1626,6,Right_Mid
1627,20,Right_End
1628,14,Left_Mid
1629,18,Left_End
1630,10,Right_Mid
1631,18,Right_End
1632,6,Left_Mid
1633,14,Left_Mid
1634,10,Left_Mid
1635,18,Right_End
1636,24,Left_End
1637,16,Left_End
1638,12,Left_Mid
1639,10,Left_Mid
1640,5,Right_Mid
1641,10,Right_Mid
1642,1,Start
1643,17,Left_End
1644,15,Right_End
1645,12,Left_Mid
1646,15,Right_End
1647,16,Left_End
1648,22,Right_End
1649,7,Left_Mid
1650,11,Right_Mid
1651,3,Start
1652,10,Right_Mid
1653,9,Left_Mid
1654,1,Start
1655,4,Start
1656,18,Left_End
1657,1,Start
1658,13,Right_Mid
1659,18,Right_End
1660,24,Right_End
1661,15,Right_End
1662,2,Start
1663,9,Right_Mid
1664,21,Right_End
1665,7,Right_Mid
1666,23,Right_End
1667,7,Right_Mid
1668,12,Left_Mid
1669,4,Start
1670,5,Left_Mid
1671,22,Left_End
1672,11,Right_Mid
1673,9,Left_Mid
1674,10,Right_Mid
1675,19,Left_End
1676,11,Right_Mid
1677,13,Right_Mid
1678,18,Left_End
1679,13,Right_Mid
1680,11,Right_Mid
1681,1,Start
1682,19,Right_End
1683,20,Left_End
1684,6,Left_Mid
1685,15,Right_End
1686,6,Right_Mid
1687,19,Right_End
1688,5,Left_Mid
1689,8,Right_Mid
1690,17,Left_End
1691,1,Start
1692,11,Left_Mid
1693,8,Left_Mid
1694,20,Right_End
1695,16,Left_End
1696,5,Right_Mid
1697,8,Right_Mid
1698,12,Left_Mid
1699,12,Left_Mid
1700,11,Left_Mid
1701,24,Right_End
1702,0,Start
1703,22,Left_End
1704,15,Left_End
1705,8,Left_Mid
1706,21,Left_End
1707,24,Left_End
1708,12,Right_Mid
1709,0,Start
1710,10,Left_Mid
1711,4,Start
1712,16,Left_End
1713,12,Right_Mid
1714,5,Left_Mid
1715,18,Right_End
1716,2,Start
1717,17,Left_End
1718,24,Left_End
1719,6,Right_Mid
1720,9,Right_Mid
1721,21,Left_End
1722,18,Left_End
1723,13,Right_Mid
1724,23,Right_End
1725,9,Right_Mid
1726,24,Left_End
1727,7,Left_Mid
1728,18,Left_End
1729,11,Left_Mid
1730,3,Start
1731,24,Right_End
1732,24,Right_End
1733,13,Left_Mid
1734,23,Right_End
1735,12,Left_Mid
1736,13,Left_Mid
1737,6,Left_Mid
1738,9,Right_Mid
1739,23,Left_End
1740,9,Right_Mid
1741,16,Right_End
1742,13,Right_Mid
1743,9,Right_Mid
1744,16,Left_End
1745,6,Right_Mid
1746,7,Left_Mid
1747,10,Left_Mid
1748,21,Left_End
1749,8,Right_Mid
1750,16,Left_End
1751,24,Left_End
1752,0,Start
1753,12,Right_Mid
1754,7,Left_Mid
1755,6,Right_Mid
1756,9,Right_Mid
1757,9,Left_Mid
1758,16,Right_End
1759,20,Left_End
1760,21,Right_End
1761,5,Right_Mid
1762,21,Left_End
1763,7,Right_Mid
1764,10,Right_Mid
1765,18,Right_End
1766,5,Left_Mid
1767,11,Left_Mid
1768,19,Right_End
1769,17,Left_End
1770,19,Right_End
1771,18,Left_End
1772,2,Start
1773,16,Left_End
1774,23,Right_End
1775,12,Right_Mid
1776,18,Right_End
1777,6,Right_Mid
1778,13,Left_Mid
1779,8,Right_Mid
1780,14,Left_Mid
1781,0,Start
1782,19,Right_End
1783,22,Right_End
1784,6,Left_Mid
1785,16,Left_End
1786,9,Right_Mid
1787,16,Right_End
1788,2,Start
1789,17,Right_End
1790,6,Right_Mid
1791,18,Left_End
1792,21,Left_End
1793,20,Right_End
1794,12,Right_Mid
1795,7,Left_Mid
1796,20,Right_End
1797,12,Left_Mid
1798,18,Right_End
1799,12,Right_Mid
1800,12,Left_Mid
1801,10,Left_Mid
1802,19,Left_End
1803,5,Left_Mid
1804,8,Right_Mid
1805,3,Start
1806,22,Left_End
1807,18,Right_End
1808,12,Left_Mid
1809,21,Right_End
1810,14,Right_Mid
1811,7,Left_Mid
1812,16,Right_End
1813,24,Right_End
1814,23,Right_End
1815,11,Left_Mid
1816,7,Left_Mid
1817,16,Right_End
1818,8,Left_Mid
1819,22,Left_End
1820,19,Left_End
1821,7,Right_Mid
1822,1,Start
1823,18,Left_End
1824,19,Left_End
1825,10,Right_Mid
1826,3,Start
1827,1,Start
1828,15,Left_End
1829,6,Left_Mid
1830,7,Left_Mid
1831,15,Right_End
1832,15,Right_End
1833,21,Right_End
1834,2,Start
1835,21,Right_End
1836,8,Right_Mid
1837,13,Left_Mid
1838,5,Right_Mid
1839,24,Left_End
1840,12,Left_Mid
1841,12,Right_Mid
1842,4,Start
1843,21,Left_End
1844,6,Right_Mid
1845,16,Right_End
1846,1,Start
1847,14,Right_Mid
1848,14,Left_Mid
1849,20,Right_End
1850,22,Left_End
1851,14,Right_Mid
1852,11,Left_Mid
1853,5,Right_Mid
1854,11,Right_Mid
1855,10,Right_Mid
1856,13,Right_Mid
1857,13,Left_Mid
1858,22,Right_End
1859,15,Right_End
1860,24,Left_End
1861,21,Left_End
1862,4,Start
1863,4,Start
1864,6,Right_Mid
1865,14,Right_Mid
1866,13,Left_Mid
1867,8,Right_Mid
1868,12,Left_Mid
1869,19,Left_End
1870,8,Left_Mid
1871,24,Left_End
1872,18,Left_End
1873,5,Right_Mid
1874,4,Start
1875,17,Right_End
1876,6,Left_Mid
1877,6,Left_Mid
1878,15,Right_End
1879,14,Left_Mid
1880,17,Right_End
1881,9,Right_Mid
1882,16,Left_End
1883,23,Left_End
1884,7,Right_Mid
1885,10,Right_Mid
1886,8,Left_Mid
1887,10,Right_Mid
1888,16,Left_End
1889,12,Right_Mid
1890,7,Right_Mid
1891,4,Start
1892,21,Left_End
1893,7,Right_Mid
1894,9,Left_Mid
1895,3,Start
1896,11,Left_Mid
1897,23,Right_End
1898,0,Start
1899,8,Left_Mid
1900,20,Right_End
1901,24,Right_End
1902,4,Start
1903,6,Right_Mid
1904,1,Start
1905,23,Right_End
1906,11,Right_Mid
1907,18,Left_End
1908,17,Right_End
1909,11,Right_Mid
1910,5,Left_Mid
1911,5,Right_Mid
1912,22,Right_End
1913,2,Start
1914,1,Start
1915,7,Left_Mid
1916,24,Right_End
1917,21,Right_End
1918,7,Right_Mid
1919,18,Right_End
1920,13,Left_Mid
1921,18,Left_End
1922,1,Start
1923,11,Left_Mid
1924,18,Right_End
1925,8,Left_Mid
1926,9,Left_Mid
1927,24,Right_End
1928,7,Left_Mid
1929,18,Left_End
1930,15,Left_End
1931,18,Left_End
1932,16,Right_End
1933,20,Left_End
1934,20,Right_End
1935,9,Left_Mid
1936,24,Left_End
1937,8,Right_Mid
1938,24,Left_End
1939,22,Left_End
1940,22,Right_End
1941,9,Right_Mid
1942,23,Right_End
1943,22,Left_End
1944,14,Right_Mid
1945,20,Right_End
1946,5,Right_Mid
1947,10,Left_Mid
1948,18,Right_End
1949,21,Right_End
1950,6,Left_Mid
1951,18,Right_End
1952,7,Right_Mid
1953,22,Left_End
1954,15,Right_End
1955,12,Right_Mid
1956,8,Left_Mid
1957,16,Left_End
1958,10,Left_Mid
1959,6,Right_Mid
1960,10,Left_Mid
1961,1,Start
1962,1,Start
1963,9,Right_Mid
1964,11,Left_Mid
1965,7,Left_Mid
1966,21,Right_End
1967,7,Right_Mid
1968,12,Left_Mid
1969,19,Left_End
1970,15,Right_End
1971,0,Start
1972,3,Start
1973,19,Left_End
1974,8,Left_Mid
1975,17,Right_End
1976,15,Left_End
1977,13,Right_Mid
1978,16,Right_End
1979,12,Left_Mid
1980,21,Right_End
1981,1,Start
1982,7,Left_Mid
1983,17,Right_End
1984,15,Right_End
1985,21,Left_End
1986,18,Left_End
1987,8,Left_Mid
1988,2,Start
1989,12,Right_Mid
1990,15,Right_End
1991,7,Right_Mid
1992,12,Right_Mid
1993,19,Left_End
1994,8,Left_Mid
1995,19,Right_End
1996,20,Right_End
1997,13,Left_Mid
1998,23,Right_End
1999,14,Left_Mid
